time_unix;time_server;event;symbol;signal;trend;buy_checks;sell_checks;bid;ask;spread_points;balance;equity;risk_cash;position_side;position_volume;floating_pl;message
1783037383;2026.07.03 00:09:43;EA_START;XAUUSDm;WAIT;WAIT;0;0;4128.523;4128.763;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783040400;2026.07.03 01:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;4;1;4147.067;4147.307;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 4/5 | SELL 1/5 | RSI 70.1 | ADX 29.4 | ATR 22.62
1783040400;2026.07.03 01:00:00;ALERT_WATCH;XAUUSDm;WAIT;WAIT;4;1;4147.067;4147.307;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;XAUUSDm BUY setup forming | 4/5 checks | NO TRADE YET
1783040758;2026.07.03 01:05:58;EA_STOP;XAUUSDm;WAIT;WAIT;4;1;4159.233;4159.473;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;EA removed or terminal stopped, reason 9
1783040764;2026.07.03 01:06:04;EA_START;XAUUSDm;WAIT;WAIT;0;0;4159.897;4160.137;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783044000;2026.07.03 02:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4182.392;4182.632;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 76.5 | ADX 35.6 | ATR 25.60
1783047600;2026.07.03 03:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;1;4183.257;4183.497;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 1/5 | RSI 76.7 | ADX 40.9 | ATR 25.27
1783051200;2026.07.03 04:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4176.131;4176.371;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 72.8 | ADX 44.3 | ATR 20.27
1783054800;2026.07.03 05:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4178.884;4179.124;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 73.4 | ADX 45.2 | ATR 18.48
1783058400;2026.07.03 06:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4171.236;4171.476;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 69.3 | ADX 43.3 | ATR 17.65
1783062000;2026.07.03 07:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;2;2;4173.178;4173.418;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 2/5 | SELL 2/5 | RSI 69.8 | ADX 37.5 | ATR 17.45
1783065599;2026.07.03 07:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4177.398;4177.638;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 70.8 | ADX 35.2 | ATR 16.20
1783069200;2026.07.03 09:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4180.957;4181.197;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 71.6 | ADX 35.0 | ATR 15.87
1783072799;2026.07.03 09:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4172.010;4172.250;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 66.4 | ADX 31.3 | ATR 15.32
1783076399;2026.07.03 10:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4176.856;4177.096;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 67.9 | ADX 28.0 | ATR 14.90
1783079999;2026.07.03 11:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4180.988;4181.228;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 69.0 | ADX 27.3 | ATR 15.04
1783085200;2026.07.03 13:26:40;H1_EVALUATION;XAUUSDm;WAIT;WAIT;3;1;4171.328;4171.568;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 3/5 | SELL 1/5 | RSI 66.3 | ADX 24.8 | ATR 15.43
1783165009;2026.07.04 11:36:49;EA_STOP;XAUUSDm;WAIT;WAIT;3;1;4174.661;4174.901;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;EA removed or terminal stopped, reason 9
1783340080;2026.07.06 12:14:40;EA_START;XAUUSDm;WAIT;WAIT;0;0;4156.344;4156.584;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;Exness Guard v1.32 initialized in SIGNALS ONLY
1783340080;2026.07.06 12:14:40;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;1;4156.181;4156.421;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 1/5 | RSI 49.0 | ADX 19.6 | ATR 17.41
1783342798;2026.07.06 12:59:58;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;2;4139.417;4139.657;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 42.7 | ADX 20.2 | ATR 18.03
1783343742;2026.07.06 13:15:42;ALERT_NEWS;XAUUSDm;WAIT;WAIT;0;2;4139.514;4139.754;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;USD high impact in 30 min | S&P Global Services PMI | new entries blocked
1783345542;2026.07.06 13:45:42;ALERT_NEWS;XAUUSDm;WAIT;WAIT;0;2;4146.088;4146.328;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;USD high impact in 15 min | ISM Non-Manufacturing PMI | new entries blocked
1783346398;2026.07.06 13:59:58;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;2;4140.887;4141.127;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 43.3 | ADX 20.8 | ATR 17.23
1783349999;2026.07.06 14:59:59;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;3;4138.436;4138.676;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 3/5 | RSI 42.2 | ADX 22.8 | ATR 17.19
1783353598;2026.07.06 15:59:58;H1_EVALUATION;XAUUSDm;WAIT;WAIT;0;2;4148.240;4148.480;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 0/5 | SELL 2/5 | RSI 47.6 | ADX 22.3 | ATR 16.04
1783357200;2026.07.06 17:00:00;H1_EVALUATION;XAUUSDm;WAIT;WAIT;1;1;4154.899;4155.139;240.0;0.00;0.00;0.00;FLAT;0.00;0.00;BUY 1/5 | SELL 1/5 | RSI 50.8 | ADX 20.3 | ATR 15.79
